Field.Number,Date,Year,Cell,ObsDepth,Fullness_veg,Fullness_alg,PHOTO,SampleKept,RakeNotes,SciName,ComName,Leaf Description (if ID unkn),DOM,Present_Site,Present_Rake,Present_Lab,Kept,Weight_g,Volume_mL,LabNotes
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Nitellopsis obtusa,Starry stonewort,,1,1,1,1,1,136,140,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,0,0,0,,,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Stuckenia pectinatus,Sago pondweed,,0,1,0,1,1,10.5,10,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Utricularia sp.,Bladderwort sp.,,0,1,0,0,0,,,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,8.8,10,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,1,1,1,1,1,54,76,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,1,1,1,100.8,125,"Leaves: 50mL, Stems: 75mL"
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Riccia fluitans,Floating slender liverwort/Floating crystalwort,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-004A,7-Aug-24,2024,East,0.64,2,0,TRUE,TRUE,,Typha sp.,Cattail sp.,,0,1,0,0,0,,,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,3.6,4,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Decodon verticillatus,Swamp loosestrife,,0,1,0,0,0,,,"swamp loosestrife into site classed as ""emergent"" veg but is technically riparian and not in the list of aqua veg!"
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Lemna sp.,Duckweed sp.,round leaves,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,1,1,1,1,1,56.7,65,"Leaf: 55mL, Stem: 10mL"
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-070824-005A,7-Aug-24,2024,East,0.81,1,0,TRUE,TRUE,,Utricularia vulgaris,Common bladderwort,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,20.3,21,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,0,1,1,1,1,1.8,2,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Lemna trisulca,Star duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,1,1,1,1,1,354.9,420,"Leaves: 200 mL, Stems: 220 mL"
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,0.9,1,
2024-LCS-NWA-080824-001A,8-Aug-24,2024,East,1,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,207.2,215,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Decodon verticillatus,Swamp loosestrife,,0,1,0,0,0,,,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,1,1,1,1,1,452.1,450,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Lemna trisulca,Star duckweed,,0,1,0,1,1,0.1,0,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Nitella sp.,Stonewort sp.,,0,1,1,0,0,,,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,0,1,1,1.1,1,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Potamogeton pusillus,Slender pondweed,,0,1,1,1,1,6.2,6,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,66.2,70,
2024-LCS-NWA-080824-002A,8-Aug-24,2024,East,1.7,3,0,TRUE,TRUE,,Typha sp.,Cattail sp.,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,1,1,1,1,1,269.1,275,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,0,1,1,1,1,43.5,45,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,1,1,0.6,1,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Lemna sp.,Duckweed sp.,round leaves,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Lemna trisulca,Star duckweed,,0,1,0,1,1,2.9,2,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Nitella sp.,Stonewort sp.,,0,1,1,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Potamogeton pusillus,Slender pondweed,,0,1,1,1,1,0.9,0,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,13.2,14,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Ranunculus sp.,Crowfoot sp.,,0,1,0,1,1,1.3,1,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Stuckenia pectinatus,Sago pondweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Typha sp.,Cattail sp.,,0,1,0,0,0,,,
2024-LCS-NWA-080824-003A,8-Aug-24,2024,East,1.5,3,0,TRUE,TRUE,,Utricularia sp.,Bladderwort sp.,,0,1,0,0,0,,,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,25.6,26,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,1,1,0,0,0,,,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,1,1,0.3,0,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Lemna sp.,Duckweed sp.,round leaves,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Lemna trisulca,Star duckweed,,0,1,1,1,1,5.8,6,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Myriophyllum sibiricum,Northern water milfoil,,0,1,0,1,1,8.1,8,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Myriophyllum spicatum,Eurasian water milfoil,,0,1,0,0,0,,,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,1,1,1,43.7,55,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,1,1,1,0.5,0,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Riccia fluitans,Floating slender liverwort/Floating crystalwort,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Utricularia gibba,Humped bladderwort,,0,1,0,1,1,0.2,0,
2024-LCS-NWA-080824-004A,8-Aug-24,2024,East,0.66,1,0,TRUE,TRUE,,Utricularia vulgaris,Common bladderwort,,0,1,1,1,1,30,30,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,64.3,70,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Decodon verticillatus,Swamp loosestrife,,0,1,0,0,0,,,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,0,1,1,1,1,68.7,70,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,1,1,2.8,4,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Lemna trisulca,Star duckweed,,0,1,1,1,1,0.8,1,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Myriophyllum sibiricum,Northern water milfoil,,0,1,0,1,1,12.6,15,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Nitella sp.,Stonewort sp.,,0,1,1,1,1,7.5,8,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,1,1,1,1,1,33.3,40,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Potamogeton pusillus,Slender pondweed,,0,1,0,1,1,0,0,measured with flat-stemmed pondweed
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,17.8,17,measures include slender pondweed
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Ranunculus sp.,Crowfoot sp.,,0,1,0,1,1,3.3,4,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Typha sp.,Cattail sp.,,0,1,0,0,0,,,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Utricularia gibba,Humped bladderwort,,0,1,0,1,1,0,0,
2024-LCS-NWA-080824-005A,8-Aug-24,2024,East,0.78,2,0,TRUE,TRUE,,Utricularia vulgaris,Common bladderwort,,0,1,0,1,1,6.8,7,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Algae,Algae,Filamentous,0,1,0,0,0,,,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,13.5,14,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,0,1,0,1,1,0.3,0,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Najas sp.,Naiad sp./ water nymph sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Nitella sp.,Stonewort sp.,,0,1,0,1,1,0.5,0,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,1,1,1,120.1,145,"Leaves: 85mL, Stems: 60mL"
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-001A,12-Aug-24,2024,East,0.76,1,0,TRUE,TRUE,,Utricularia sp.,Bladderwort sp.,,1,1,0,0,0,,,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Ceratophyllum demersum,Coontail,,0,1,1,1,1,36.8,39,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Elodea canadensis,Common waterweed,,0,1,0,1,1,0.8,1,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,0,0,,,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Lemna trisulca,Star duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Myriophyllum sibiricum,Northern water milfoil,,0,1,0,1,1,3.2,3,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Najas flexilis,Slender naiad/ water nymph,,0,1,0,1,1,0.2,0,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Nitella sp.,Stonewort sp.,,0,1,0,1,1,1.6,2,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Nitellopsis obtusa,Starry stonewort,,0,1,0,1,1,15.3,16,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Nymphaea sp.,White water lily,,1,1,1,1,1,44.3,50,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Potamogeton zosteriformis,Flat-stemmed pondweed,,0,1,0,1,1,0.6,0,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Utricularia gibba,Humped bladderwort,,0,1,0,1,1,1,1,
2024-LCS-NWA-120824-002A,12-Aug-24,2024,East,0.62,2,0,TRUE,TRUE,lots of detritus with rake,Utricularia vulgaris,Common bladderwort,,0,1,1,1,1,114.7,120,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,0,0,0,,,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,1,1,1,1,1,68.8,90,"Leaves: 45mL, Stems: 45mL"
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Sagittaria sp.,Arrowhead sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-120824-003A,12-Aug-24,2024,East,0.6,1,0,TRUE,TRUE,,Utricularia sp.,Bladderwort sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Ceratophyllum demersum,Coontail,,1,1,1,1,1,21.5,22,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Elodea canadensis,Common waterweed,,0,1,1,1,1,81.5,85,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Lemna trisulca,Star duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Najas sp.,Naiad sp./ water nymph sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Nitella sp.,Stonewort sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Nymphaea sp.,White water lily,,0,1,0,0,0,,,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Potamogeton pusillus,Slender pondweed,,0,1,0,1,1,0.5,1,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-004A,12-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,very mucky sample,Utricularia sp.,Bladderwort sp.,,0,1,0,0,0,,,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Ceratophyllum demersum,Coontail,,0,1,0,1,1,35.8,39,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,1,1,62.7,90,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Lemna trisulca,Star duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Nymphaea sp.,White water lily,,1,1,1,1,1,106.2,130,"Leaves: 60 mL, Stems: 70 mL"
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Riccia fluitans,Floating slender liverwort/Floating crystalwort,,0,1,0,1,1,0,0,
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0.4,0,measurement includes all duckweed sp.
2024-LCS-NWA-120824-005A,12-Aug-24,2024,East,0.52,2,0,TRUE,TRUE,detritus in sample,Utricularia vulgaris,Common bladderwort,,0,1,0,1,1,7.4,8,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Algae,Algae,filamentous,0,1,0,0,0,,,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Ceratophyllum demersum,Coontail,,0,1,1,1,1,53,57,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Elodea canadensis,Common waterweed,,0,1,0,1,1,0.9,1,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,1,1,13.2,18,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Lemna trisulca,Star duckweed,,0,1,0,1,1,0.1,0,
2024-LCS-NWA-130824-001A,13-Aug-24,2024,East,0.82,1,0,TRUE,TRUE,mucky sample,Nymphaea sp.,White water lily,,1,1,0,0,0,,,
