Field Number,Year,Plant Species Name,Common name,Weight (g),Displacement Volume (mL),Processed by,Processing date,Entered by,Date entered,Audited by,Date audited
2023-LCS-NWA-100823-005A,2023,Elodea canadensis,Canada waterweed,1.1,2,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-005A,2023,Lemna trisulca,"Duckweed, star",0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-005A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-006A,2023,Chara sp.,Stonewort (Starry),287.1,290,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-006A,2023,Ceratophyllum demersum,Coontail,10.9,12,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-006A,2023,Nymphaea sp.,"Water lily, white",24.3,26,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-001A,2023,Nymphaea sp.,"Water lily, white",461.8,480,J. Parker,12/15/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,14.3,18,J. Parker,12/15/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-001A,2023,Ceratophyllum demersum,Coontail,522.8,520,J. Parker,12/15/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-001A,2023,Elodea canadensis,Canada waterweed,816.8,800,J. Parker,12/15/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-001A,2023,Potamogeton pusillus,"Pondweed, slender",30.5,30,J. Parker,12/15/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",0.9,2,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,30.8,40,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Ceratophyllum demersum,Coontail,0.4,0,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Lemna trisulca,"Duckweed, star",0.2,0,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Nymphaea sp.,"Water lily, white",260.3,290,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Potamogeton pusillus,"Pondweed, slender",0.1,0,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Utricularia sp.,Bladderwort sp.,3.7,4,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-002A,2023,Elodea canadensis,Canada waterweed,0.1,0,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-003A,2023,Ceratophyllum demersum,Coontail,62.3,60,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-003A,2023,Potamogeton pusillus,"Pondweed, slender",3.7,4,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-003A,2023,Elodea canadensis,Canada waterweed,26.2,30,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-004A,2023,Chara sp.,Stonewort (Starry),62.1,65,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-004A,2023,Ceratophyllum demersum,Coontail,0.1,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-005A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-140823-006A,2023,Nymphaea sp.,"Water lily, white",15.1,18,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-001A,2023,Nymphaea sp.,"Water lily, white",78.5,100,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-002A,2023,Utricularia sp.,Bladderwort sp.,30.6,36,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-002A,2023,Nymphaea sp.,"Water lily, white",10.5,12,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-002A,2023,Ceratophyllum demersum,Coontail,0.3,0,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-003A,2023,Ceratophyllum demersum,Coontail,4.6,6,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-004A,2023,Ceratophyllum demersum,Coontail,5.3,6,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-004A,2023,Nymphaea sp.,"Water lily, white",179.6,230,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-004A,2023,Utricularia sp.,Bladderwort sp.,67.8,65,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-005A,2023,Nymphaea sp.,"Water lily, white",0.9,2,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-005A,2023,Utricularia sp.,Bladderwort sp.,12.9,15,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-006A,2023,Ceratophyllum demersum,Coontail,5.9,6,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-150823-006A,2023,Nymphaea sp.,"Water lily, white",0.8,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-001A,2023,Nymphaea sp.,"Water lily, white",191.7,230,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-001A,2023,Ceratophyllum demersum,Coontail,52.8,55,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-002A,2023,Ceratophyllum demersum,Coontail,29.6,30,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-002A,2023,Utricularia sp.,Bladderwort sp.,46.7,48,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-002A,2023,Stuckenia pectinatus,"Pondweed, Sago",10.9,12,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-003A,2023,Nymphaea sp.,"Water lily, white",60.5,80,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-003A,2023,Ceratophyllum demersum,Coontail,0.8,2,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-004A,2023,Ceratophyllum demersum,Coontail,196.8,200,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-004A,2023,Elodea canadensis,Canada waterweed,9.2,8,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Ceratophyllum demersum,Coontail,301.1,300,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Elodea canadensis,Canada waterweed,34.8,40,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Potamogeton pusillus,"Pondweed, slender",8.4,10,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,11.2,12,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Lemna trisulca,"Duckweed, star",0,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-005A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,0.2,0,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-160823-006A,2023,Algae,Algae,38.3,38,J. Parker,missing,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-001A,2023,Utricularia sp.,Bladderwort sp.,35.6,55,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Ceratophyllum demersum,Coontail,63.5,70,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Lemna trisulca,"Duckweed, star",0.4,2,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,7.3,8,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Potamogeton pusillus,"Pondweed, slender",0.2,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-001A,2023,Nymphaea sp.,"Water lily, white",109.5,120,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-002A,2023,Ceratophyllum demersum,Coontail,131.3,130,J. Parker,1/24/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-002A,2023,Elodea canadensis,Canada waterweed,208.4,210,J. Parker,1/24/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,175.8,200,J. Parker,1/24/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-003A,2023,Nymphaea sp.,"Water lily, white",288.3,330,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-003A,2023,Ceratophyllum demersum,Coontail,0.8,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-003A,2023,Elodea canadensis,Canada waterweed,2.1,4,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-003A,2023,Utricularia sp.,Bladderwort sp.,22,25,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,1.8,2,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-004A,2023,Nymphaea sp.,"Water lily, white",52,60,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-004A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Nymphaea sp.,"Water lily, white",33.3,36,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,23.9,30,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Lemna trisulca,"Duckweed, star",0.7,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Elodea canadensis,Canada waterweed,55.9,60,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Ceratophyllum demersum,Coontail,78.7,80,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-005A,2023,Utricularia sp.,Bladderwort sp.,9.1,10,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Lemna trisulca,"Duckweed, star",1.1,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,22,26,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Potamogeton pusillus,"Pondweed, slender",1.2,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Ceratophyllum demersum,Coontail,1.5,2,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Utricularia sp.,Bladderwort sp.,95.4,100,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Nymphaea sp.,"Water lily, white",317.6,360,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-210823-006A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,1/3/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Ceratophyllum demersum,Coontail,7,8,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Utricularia sp.,Bladderwort sp.,39.9,45,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,8.8,10,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Nymphaea sp.,"Water lily, white",162.9,200,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Lemna trisulca,"Duckweed, star",20.9,22,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-001A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-002A,2023,Utricularia sp.,Bladderwort sp.,6.8,10,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-002A,2023,Ceratophyllum demersum,Coontail,4.7,4,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-002A,2023,Nymphaea sp.,"Water lily, white",36,40,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-003A,2023,Nelumbo lutea,"Lotus, American",79.3,100,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-003A,2023,Ceratophyllum demersum,Coontail,3.9,6,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-003A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-004A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-005A,2023,Ceratophyllum demersum,Coontail,19.9,20,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-005A,2023,Utricularia sp.,Bladderwort sp.,7,8,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,57.1,70,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-005A,2023,Nymphaea sp.,"Water lily, white",35.9,35,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-005A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,21.7,25,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-220823-006A,2023,Ceratophyllum demersum,Coontail,13.7,24,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
