Serial_Number,Site_Name,Latitude,Longitude,Local_Date_Time,Temperature_C,Temp_Change_Back,Temp_Change_Fwd,DO_mgL,DO_Change_Back,DO_Change_Fwd,Air_Exposure_Flag,Battery_V,Q,Unix_Time,Project_Code,Waterbody,Start_Time,End_Time,Notes,Group
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:23:00Z,24.89,0.08500000000000085,0.09299999999999997,9.218,0.058999999999999275,0.38599999999999923,Clean,3.42,0.922,1691536980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:33:00Z,24.797,-0.09299999999999997,-0.01699999999999946,8.832,-0.38599999999999923,-0.5229999999999997,Clean,3.42,0.921,1691537580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:43:00Z,24.814,0.01699999999999946,0.01699999999999946,9.355,0.5229999999999997,0.26900000000000013,Clean,3.42,0.922,1691538180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:53:00Z,24.797,-0.01699999999999946,0.05900000000000105,9.086,-0.26900000000000013,-0.6419999999999995,Clean,3.42,0.922,1691538780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:03:00Z,24.738,-0.05900000000000105,0,9.728,0.6419999999999995,-0.26900000000000013,Clean,3.42,0.923,1691539380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:13:00Z,24.738,0,0.01699999999999946,9.997,0.26900000000000013,-0.07499999999999929,Clean,3.42,0.922,1691539980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:23:00Z,24.721,-0.01699999999999946,0.04200000000000159,10.072,0.07499999999999929,-0.23100000000000165,Clean,3.42,0.923,1691540580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:33:00Z,24.679,-0.04200000000000159,0.2519999999999989,10.303,0.23100000000000165,0.0730000000000004,Clean,3.42,0.923,1691541180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:43:00Z,24.427,-0.2519999999999989,0.12600000000000122,10.23,-0.0730000000000004,-0.5990000000000002,Clean,3.42,0.922,1691541780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T00:53:00Z,24.301,-0.12600000000000122,0.09199999999999875,10.829,0.5990000000000002,-0.05999999999999872,Clean,3.42,0.923,1691542380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:03:00Z,24.209,-0.09199999999999875,0.03300000000000125,10.889,0.05999999999999872,-0.09100000000000108,Clean,3.42,0.924,1691542980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:13:00Z,24.176,-0.03300000000000125,0.04199999999999804,10.98,0.09100000000000108,0.21700000000000053,Clean,3.42,0.924,1691543580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:23:00Z,24.134,-0.04199999999999804,0.2940000000000005,10.763,-0.21700000000000053,0.4969999999999999,Clean,3.42,0.921,1691544180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:33:00Z,23.84,-0.2940000000000005,0.05900000000000105,10.266,-0.4969999999999999,0.5879999999999992,Clean,3.42,0.921,1691544780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:43:00Z,23.781,-0.05900000000000105,0.02499999999999858,9.678,-0.5879999999999992,-0.39699999999999847,Clean,3.42,0.92,1691545380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T01:53:00Z,23.756,-0.02499999999999858,0.02499999999999858,10.075,0.39699999999999847,0.20399999999999885,Clean,3.42,0.921,1691545980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:03:00Z,23.731,-0.02499999999999858,0.10900000000000176,9.871,-0.20399999999999885,0.08200000000000074,Clean,3.42,0.921,1691546580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:13:00Z,23.622,-0.10900000000000176,0.05900000000000105,9.789,-0.08200000000000074,0.3379999999999992,Clean,3.42,0.92,1691547180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:23:00Z,23.563,-0.05900000000000105,0.07499999999999929,9.451,-0.3379999999999992,0.0600000000000005,Clean,3.42,0.92,1691547780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:33:00Z,23.488,-0.07499999999999929,0.03300000000000125,9.391,-0.0600000000000005,0.1999999999999993,Clean,3.42,0.92,1691548380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:43:00Z,23.455,-0.03300000000000125,0.14299999999999713,9.191,-0.1999999999999993,0.3290000000000006,Clean,3.42,0.92,1691548980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T02:53:00Z,23.312,-0.14299999999999713,0.08399999999999963,8.862,-0.3290000000000006,0.3849999999999998,Clean,3.42,0.92,1691549580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:03:00Z,23.228,-0.08399999999999963,0.05799999999999983,8.477,-0.3849999999999998,0.1720000000000006,Clean,3.42,0.919,1691550180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:13:00Z,23.17,-0.05799999999999983,0.05900000000000105,8.305,-0.1720000000000006,0.4339999999999993,Clean,3.42,0.919,1691550780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:23:00Z,23.111,-0.05900000000000105,0.07499999999999929,7.871,-0.4339999999999993,-0.09299999999999997,Clean,3.42,0.918,1691551380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:33:00Z,23.036,-0.07499999999999929,0.017000000000003013,7.964,0.09299999999999997,0.04300000000000015,Clean,3.42,0.918,1691551980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:43:00Z,23.019,-0.017000000000003013,0.04199999999999804,7.921,-0.04300000000000015,0.1720000000000006,Clean,3.42,0.919,1691552580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-09T03:53:00Z,22.977,-0.04199999999999804,NA,7.749,-0.1720000000000006,NA,Clean,3.42,0.918,1691553180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T19:57:00Z,26.416,NA,0.4140000000000015,9.351,NA,0.3000000000000007,Clean,3.43,0.918,1691611020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:07:00Z,26.002,-0.4140000000000015,0.14399999999999835,9.051,-0.3000000000000007,-0.1639999999999997,Clean,3.44,0.919,1691611620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:17:00Z,25.858,-0.14399999999999835,0.05000000000000071,9.215,0.1639999999999997,-0.35299999999999976,Clean,3.44,0.918,1691612220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:27:00Z,25.808,-0.05000000000000071,0,9.568,0.35299999999999976,-0.31200000000000117,Clean,3.44,0.919,1691612820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:37:00Z,25.808,0,0,9.88,0.31200000000000117,-0.08899999999999864,Clean,3.44,0.919,1691613420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:47:00Z,25.808,0,0.009000000000000341,9.969,0.08899999999999864,0.06599999999999895,Clean,3.44,0.92,1691614020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T20:57:00Z,25.799,-0.009000000000000341,0.01699999999999946,9.903,-0.06599999999999895,0.32500000000000107,Clean,3.44,0.919,1691614620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:07:00Z,25.782,-0.01699999999999946,0.04200000000000159,9.578,-0.32500000000000107,-0.23000000000000043,Clean,3.44,0.919,1691615220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:17:00Z,25.74,-0.04200000000000159,0.02499999999999858,9.808,0.23000000000000043,-0.14199999999999946,Clean,3.44,0.918,1691615820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:27:00Z,25.715,-0.02499999999999858,0.02499999999999858,9.95,0.14199999999999946,-0.012000000000000455,Clean,3.44,0.919,1691616420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:37:00Z,25.69,-0.02499999999999858,0.043000000000002814,9.962,0.012000000000000455,-9.999999999994458e-4,Clean,3.44,0.92,1691617020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:47:00Z,25.647,-0.043000000000002814,0.04999999999999716,9.963,9.999999999994458e-4,-0.1070000000000011,Clean,3.44,0.92,1691617620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T21:57:00Z,25.597,-0.04999999999999716,0.009000000000000341,10.07,0.1070000000000011,0.08900000000000041,Clean,3.44,0.919,1691618220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:07:00Z,25.588,-0.009000000000000341,0.06700000000000017,9.981,-0.08900000000000041,0.2129999999999992,Clean,3.44,0.919,1691618820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:17:00Z,25.521,-0.06700000000000017,-0.007999999999999119,9.768,-0.2129999999999992,-0.05799999999999983,Clean,3.44,0.918,1691619420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:27:00Z,25.529,0.007999999999999119,0.007999999999999119,9.826,0.05799999999999983,-0.06700000000000017,Clean,3.44,0.918,1691620020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:37:00Z,25.521,-0.007999999999999119,0.01699999999999946,9.893,0.06700000000000017,-0.08599999999999852,Clean,3.44,0.919,1691620620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:47:00Z,25.504,-0.01699999999999946,0.02500000000000213,9.979,0.08599999999999852,0.07299999999999862,Clean,3.44,0.918,1691621220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T22:57:00Z,25.479,-0.02500000000000213,0.05099999999999838,9.906,-0.07299999999999862,0.053000000000000824,Clean,3.44,0.918,1691621820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:07:00Z,25.428,-0.05099999999999838,0.06700000000000017,9.853,-0.053000000000000824,0.03399999999999892,Clean,3.44,0.918,1691622420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:17:00Z,25.361,-0.06700000000000017,0.05100000000000193,9.819,-0.03399999999999892,0.03200000000000003,Clean,3.43,0.918,1691623020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:27:00Z,25.31,-0.05100000000000193,0.04999999999999716,9.787,-0.03200000000000003,0.08300000000000018,Clean,3.43,0.918,1691623620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:37:00Z,25.26,-0.04999999999999716,0.02500000000000213,9.704,-0.08300000000000018,0.0070000000000014495,Clean,3.43,0.918,1691624220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:47:00Z,25.235,-0.02500000000000213,0.05099999999999838,9.697,-0.0070000000000014495,0.07699999999999996,Clean,3.43,0.918,1691624820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-09T23:57:00Z,25.184,-0.05099999999999838,0.03400000000000247,9.62,-0.07699999999999996,0.0779999999999994,Clean,3.43,0.918,1691625420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:07:00Z,25.15,-0.03400000000000247,0.02499999999999858,9.542,-0.0779999999999994,0.0519999999999996,Clean,3.43,0.917,1691626020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:17:00Z,25.125,-0.02499999999999858,0.01699999999999946,9.49,-0.0519999999999996,0.12299999999999933,Clean,3.43,0.918,1691626620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:27:00Z,25.108,-0.01699999999999946,0.03300000000000125,9.367,-0.12299999999999933,0.06900000000000084,Clean,3.43,0.918,1691627220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:37:00Z,25.075,-0.03300000000000125,0.03399999999999892,9.298,-0.06900000000000084,0.11299999999999955,Clean,3.43,0.917,1691627820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:47:00Z,25.041,-0.03399999999999892,0.04200000000000159,9.185,-0.11299999999999955,0.07900000000000063,Clean,3.43,0.916,1691628420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T00:57:00Z,24.999,-0.04200000000000159,0.03399999999999892,9.106,-0.07900000000000063,0.13700000000000045,Clean,3.43,0.917,1691629020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:07:00Z,24.965,-0.03399999999999892,0.01699999999999946,8.969,-0.13700000000000045,0.11999999999999922,Clean,3.43,0.917,1691629620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:17:00Z,24.948,-0.01699999999999946,0.01600000000000179,8.849,-0.11999999999999922,0.10800000000000054,Clean,3.43,0.917,1691630220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:27:00Z,24.932,-0.01600000000000179,0.04199999999999804,8.741,-0.10800000000000054,0.054999999999999716,Clean,3.43,0.917,1691630820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:37:00Z,24.89,-0.04199999999999804,0,8.686,-0.054999999999999716,0.11299999999999955,Clean,3.43,0.917,1691631420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:47:00Z,24.89,0,0.05100000000000193,8.573,-0.11299999999999955,0.11100000000000065,Clean,3.43,0.916,1691632020,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T01:57:00Z,24.839,-0.05100000000000193,0.02499999999999858,8.462,-0.11100000000000065,0.07699999999999996,Clean,3.43,0.916,1691632620,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T02:07:00Z,24.814,-0.02499999999999858,0.009000000000000341,8.385,-0.07699999999999996,0.12899999999999956,Clean,3.43,0.916,1691633220,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T02:17:00Z,24.805,-0.009000000000000341,0.02499999999999858,8.256,-0.12899999999999956,0.07699999999999996,Clean,3.43,0.916,1691633820,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-090823-001A,42.37432,-82.39981,2023-08-10T02:27:00Z,24.78,-0.02499999999999858,0.02500000000000213,8.179,-0.07699999999999996,0.07900000000000063,Clean,3.43,0.917,1691634420,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-09T19:56:00Z,2023-08-10T12:18:00Z,NA,in-fyke
