Project Name,Project,Field Number,Historical Project Code,Date,Day,Month,Year,Date fished,Waterbody Name,Start Time,Stop Time,Start Latitude,Start Longitude,Gear,Effort,Quantification of Effort,Air Temperature,Water Temperature,Conductivity,Dissolved Oxygen,pH,Secchi Tube > measured,Secchi Tube (m),Turbidity (ntu),Distance From Shore (m),Dominant Vegetation,Floodplain Use,Bank Slope (%),Channel Cover (%),Weather Conditions,Wind Speed (km/h),Wind Direction,Weather Notes,Emergent,Floating,Submerged,Open Water,Dominant_aqua_veg,Deciduous,Coniferous,Herbaceous,shrubs,None,tbl1-4_riparian_veg.Unknown,Not recorded,Dominant_riparian_veg,Aquatic Animal Notes,Description of Gear,Narrative Locality Description,Notes_SpeciesID,Final Notes
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-006A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,5:44:00 PM,11:34:00 AM,42.3645,-82.40466,MFN,17.83,hours,26.3,23.16,463.2,5.44,7.3,TRUE,,12.89,,Ceratophyllum demersum,,,,Cloudy,4.2,SW,breezy,5,15,70,10,Submerged,0,0,95,5,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,Secchi tube depth greater than 1.2 m. Departure time not recorded.
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-001A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,1:54:00 PM,9:23:00 AM,42.3778,-82.40118,MFN,19.48,hours,29.4,23.19,403.4,3.36,7.7,TRUE,,10.37,,Ceratophyllum demersum,,,,Mixed sun and cloud,2.9,SW,,5,20,70,5,Submerged,5,0,50,45,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm near garage",,"Secchi depth was greater than 1.2 m. Fyke logger: 22.06 degrees C, 0.14 mg/L. Depth to solid bottom - BUT lots of unconsolidated substrate above."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-002A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,2:15:00 PM,9:01:00 AM,42.37521,-82.39992,MFN,18.77,hours,31.8,25.1,487.3,4.95,7.5,TRUE,,14.8,,Ceratophyllum demersum,,,,Mixed sun and cloud,9.1,SW,,5,10,70,15,Submerged,0,0,20,80,0,0,,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,Secchi tube depth was greater than 1.2 m. Turtle bycatch - details on turtle log.
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-003A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,2:35:00 PM,10:25:00 AM,42.37379,-82.39931,MFN,19.83,hours,27.5,25.63,489,6.38,7.16,TRUE,,13.24,,Ceratophyllum demersum,,,,Mixed sun and cloud,12,W,breezy,10,20,60,10,Submerged,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,Secchi tube depth was greater than 1.2 m. Turtle bycatch - details on turtle log.
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-004A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,2:56:00 PM,11:43:00 AM,42.37284,-82.39887,MFN,20.78,hours,28.3,24.26,429.1,11.06,7.71,TRUE,,13.55,,Ceratophyllum demersum,,,,Mixed sun and cloud,15.2,W,breezy - chance of storm,5,30,60,5,Submerged,0,0,90,10,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Arrival time was not recorded, but it was between 14:00 and 14:59. Secchi tube depth was greater than 1.2 m. Turtle bycatch - details on turtle log."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-005A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,3:21:00 PM,12:42:00 PM,42.36972,-82.40112,MFN,21.35,hours,27.5,24.3,470.1,3.71,7.44,TRUE,,4.21,,Nymphaea odorata ssp. odorata,,,,Mixed sun and cloud,2.5,W,,5,70,25,0,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,holes in last compartment of fyke net,"Arrival time was not recorded, but it was between 14:00 and 14:59. Hole in fyke in last compartment."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-100823-006A,,10-Aug-23,10,8,2023,11-Aug-23,St. Clair NWA - East Cell SCU,3:59:00 PM,1:29:00 PM,42.37606,-82.39867,MFN,21.5,hours,30.8,24.71,475.8,3.75,7.5,TRUE,,9.23,,Nymphaea odorata ssp. odorata,,,,Mixed sun and cloud,7.5,W,,10,45,40,5,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,lots of filamentous algae on net when fished,"Hand-set by Lianna. Lots of filamentous algae when finished. Fyke logger: 24.64 degrees C, 3.40 mg/L. Turtle bycatch - details on turtle log."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-001A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,2:19:00 PM,8:34:00 AM,42.36402,-82.40488,MFN,18.25,hours,23.9,22.32,464.1,1.21,7.03,FALSE,0.96,3.82,11.6,Ceratophyllum demersum,Not recorded,,,Mixed sun and cloud,7.2,SE,,0,70,20,10,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"J. Barnucz, S. Rajkumar, L. Fanick.  Logger start: 14:47  Temp.: 20.76 DO: 3.13"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-002A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,2:41:00 PM,9:08:00 AM,42.36334,-82.40481,MFN,18.45,hours,25.2,22.97,425.3,2.18,7.03,FALSE,0.653,80,9.4,Nymphaea sp.,Not recorded,,,Mixed sun and cloud,6.4,SE,,0,60,20,20,Floating,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"J. Barnucz, S. Rajkumar, L. Fanick"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-003A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,3:02:00 PM,9:43:00 AM,42.36224,-82.4049,MFN,18.68,hours,23.9,22.48,425.3,2.06,7.16,FALSE,0.312,24.5,19.8,Potamogeton pusillus,Not recorded,,,Mixed sun and cloud,5,SE,,0,30,20,50,Open Water,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"J. Barnucz, S. Rajkumar, L. Fanick.  Logger Start 15:12. end 09:46. DO: 8.09 Temp: 20.84"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-004A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,3:25:00 PM,10:20:00 AM,42.36126,-82.40477,MFN,18.92,hours,24.8,24.12,422.5,4.7,7.17,FALSE,0.274,74.5,12.9,,,,,Mixed sun and cloud,3.8,SE,,0,60,20,20,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"J. Barnucz, L. Fanick, S. Rajkumar  Logger Start: 15:58  Stop time: 10:24  Temp: 20.7  DO: 1.61"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-005A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,3:44:00 PM,10:58:00 AM,42.36026,-82.40524,MFN,19.23,hours,26.8,23.225,437.7,2.36,7.01,FALSE,0.54,68.24,18.5,Nymphaea sp.,,,,Mixed sun and cloud,3.2,SE,,0,40,10,50,Open Water,30,0,70,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"J. Barnucz, S. Rajkumar, L. Fanick"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-140823-006A,,14-Aug-23,14,8,2023,15-Aug-23,St. Clair NWA - East Cell SCU,4:04:00 PM,11:34:00 AM,42.3626,-82.40299,MFN,19.5,hours,24.4,22.54,446.5,1.8,7,FALSE,0.176,12.68,,Nymphaea sp.,Less disturbed - Wetland,,,Cloudy,4.5,SE,,95,0,0,5,Emergent,0,0,100,0,0,,,Herbaceous,see excel sheet for additional veg and habitat data,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-001A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,2:58:00 PM,8:23:00 AM,42.36613,-82.39956,MFN,17.42,hours,23.6,21.425,456.4,0.6,6.87,FALSE,0.093,365,,Nymphaea sp.,Less disturbed - Wetland,,,Mixed sun and cloud,3.2,N,,0,100,0,0,Floating,,,,,,,100,Not recorded,see excel sheet for additional veg and habitat data,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-002A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,3:10:00 PM,8:37:00 AM,42.36676,-82.39813,MFN,17.45,hours,26.3,22.515,412.5,1.72,7.18,FALSE,0.25,42.5,13.7,Nymphaea sp.,Less disturbed - Wetland,,,Mixed sun and cloud,4.2,N,,0,95,0,5,Floating,0,0,100,0,0,,,Herbaceous,see excel sheet for additional veg and habitat data,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-003A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,3:30:00 PM,9:05:00 AM,42.36727,-82.39663,MFN,17.6,hours,25.9,22.638,433.5,1,7.13,FALSE,0.168,40.25,,Nymphaea sp.,Not recorded,,,Mixed sun and cloud,3.2,N,,0,85,0,15,Floating,0,0,100,0,0,,,Herbaceous,see excel sheet for additional veg and habitat data,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-005A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,4:00:00 PM,10:00:00 AM,42.36876,-82.39487,MFN,18.2,hours,26.3,22.22,395.1,0.97,7.01,FALSE,0.144,66.5,,Nymphaea sp.,Not recorded,,,Mixed sun and cloud,4.2,N,,0,90,10,0,Floating,0,0,100,0,0,,,Herbaceous,see excel sheet for additional veg and habitat data,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-004A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,3:40:00 PM,9:41:00 AM,42.36764,-82.39662,MFN,18,hours,24.2,22.355,427.5,0.6,7.03,FALSE,0.154,141.5,,Nymphaea sp.,,,,Mixed sun and cloud,2.1,N,,0,90,0,10,Floating,20,0,60,20,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-150823-006A,,15-Aug-23,15,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,4:15:00 PM,10:33:00 AM,42.36993,-82.3935,MFN,18.3,hours,26.5,24.74,469.6,2,7.09,FALSE,0.019,88.25,12.3,Nymphaea sp.,,,,Cloudy,3.2,N,,0,80,15,5,Floating,0,0,100,0,,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"Logger start - 16:17, end: 10:37, temp: 20.17, DO: 0.02"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-001A,,16-Aug-23,16,8,2023,17-Aug-23,St. Clair NWA - East Cell SCU,1:10:00 PM,8:38:00 AM,42.36187,-82.40272,MFN,19.5,hours,28.8,21.665,401.3,1.6,7.37,FALSE,0.444,55.55,13.6,Nymphaea sp.,,,,Sunny,3.4,SW,,0,70,10,20,Floating,30,0,60,10,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",West Cell,,"Net rested on lily roots, can't reach full depth"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-002A,,16-Aug-23,16,8,2023,17-Aug-23,St. Clair NWA - East Cell SCU,1:25:00 PM,10:08:00 AM,42.36143,-82.40347,MFN,20.7,hours,25.4,20.696,418.9,1.25,,FALSE,0.134,7.42,12.7,Nymphaea sp.,,,,Mixed sun and cloud,4.5,SW,,0,80,10,10,Floating,20,0,50,30,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-003A,,16-Aug-23,16,8,2023,16-Aug-23,St. Clair NWA - East Cell SCU,1:56:00 PM,1:07:00 PM,42.36192,-82.40484,MFN,23.2,hours,27.8,23.117,435.4,1.67,7.34,FALSE,0.328,9.95,13.3,Nymphaea sp.,,,,Sunny,3.6,SW,,0,80,10,10,Floating,5,0,95,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"Logger start: 14:00, end: 13:10, temp: 21.92, DO: 0.04"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-004A,,16-Aug-23,16,8,2023,17-Aug-23,St. Clair NWA - East Cell SCU,2:12:00 PM,1:24:00 PM,42.3629,-82.40486,MFN,23.2,hours,25.8,22.85,441.8,1.44,7.27,FALSE,0.288,13.74,12.2,,,,,Sunny,4.2,SW,,20,30,10,60,Open Water,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-005A,,16-Aug-23,16,8,2023,17-Aug-23,St. Clair NWA - East Cell SCU,2:36:00 PM,2:04:00 PM,42.37214,-82.39974,MFN,23.5,hours,29.2,24.025,440.5,4.8,7.45,FALSE,0.392,2.62,12.3,Nymphaea sp.,,,,Sunny,4.2,SW,,0,50,20,30,Floating,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"Logger start: 14:44, end: 14:04, temp: 23.39, DO: 0.38"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-160823-006A,,16-Aug-23,16,8,2023,17-Aug-23,St. Clair NWA - East Cell SCU,2:55:00 PM,2:20:00 PM,42.37558,-82.39901,MFN,23.4,hours,28.6,24.562,472.8,15.31,7.58,FALSE,0.467,140.5,12.5,Nymphaea sp.,,,,,3.6,SW,,0,10,0,90,Open Water,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"Logger start: 15:06, end: 14:20, temp: 24.3, DO: 8.2"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-210823-001A,,21-Aug-23,21,8,2023,22-Aug-23,St. Clair NWA - West Cell SCU,3:14:00 PM,9:02:00 AM,42.36379,-82.40715,MFN,17.8,hours,30.5,24.925,506,2.9,7.34,FALSE,,11.75,12.8,Ceratophyllum demersum,,,,Sunny,2,,,0,30,10,60,Open Water,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",West Cell,,
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-210823-002A,,21-Aug-23,21,8,2023,22-Aug-23,St. Clair NWA - West Cell SCU,3:33:00 PM,10:26:00 AM,42.36069,-82.40671,MFN,18.9,hours,28.8,25.642,403.6,9.16,7.43,FALSE,0.373,134.5,12.2,Elodea canadensis,Not recorded,,,Sunny,2,,,20,40,20,40,Open Water,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",West Cell,,v. wormwell
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-210823-003A,,21-Aug-23,21,8,2023,22-Aug-23,St. Clair NWA - West Cell SCU,3:49:00 PM,11:32:00 AM,42.36196,-82.40817,MFN,19.7,hours,24.9,22.24,446.2,1.33,7.31,FALSE,,5.95,12.5,Nymphaea sp.,Not recorded,,,Sunny,6,,,0,60,20,20,Floating,0,0,100,0,0,,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",West Cell,,v. wormwell
