Project Name,Year,Day,Month,Field Number,Bin Number,Species,Total Length (mm),Total Weight (g)
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-010A,1,Erimyzon sucetta,174,81.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,114,29.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,117,29.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,76,6.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,73,5.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,79,7.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,75,6.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,83,9.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,71,5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,92,12.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,85,10.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,79,9.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis gibbosus,77,7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,87,10.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,111,25.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,93,13.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,86,10.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,101,20.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,36,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,28,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Lepomis macrochirus,32,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Micropterus nigricans,64,3.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Pomoxis nigromaculatus,61,2.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-001A,1,Pomoxis nigromaculatus,129,29.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Lepomis gibbosus,95,16.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Lepomis gibbosus,152,79.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Lepomis gibbosus,86,11.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Lepomis gibbosus,117,29.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Pomoxis nigromaculatus,47,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Pomoxis nigromaculatus,219,190.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Pomoxis nigromaculatus,244,222.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-002A,1,Amia ocellicauda,425,669.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,129,42.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,128,39.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,123,41.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,121,36.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,155,82.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,109,25.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,115,30.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,132,38.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,133,49.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,124,35.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,116,35.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,135,51.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,150,67.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Lepomis gibbosus,130,47.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Pomoxis nigromaculatus,125,27.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Pomoxis nigromaculatus,113,20.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Micropterus nigricans,152,44.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Micropterus nigricans,72,4.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Micropterus nigricans,351,638.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Umbra limi,29,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-003A,1,Amia ocellicauda,516,1313
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis macrochirus,56,3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,58,1.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,60,2.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,59,2.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,139,39.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,51,1.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,129,31.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,61,2.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,57,2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,58,2.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Pomoxis nigromaculatus,59,2.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Micropterus nigricans,153,51.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Micropterus nigricans,79,5.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Micropterus nigricans,72,4.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Micropterus nigricans,120,20.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Micropterus nigricans,234,195.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Notemigonus crysoleucas,47,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Notemigonus crysoleucas,53,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis gibbosus,136,44.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis gibbosus,69,51.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis gibbosus,131,48.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis gibbosus,140,61.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Lepomis gibbosus,124,37.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Umbra limi,27,0
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,47,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,49,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,43,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,35,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,41,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,44,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,45,1.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,40,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,39,0.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,49,1.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,46,0.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Erimyzon sucetta,48,1.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Ameiurus melas,306,351
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-004A,1,Amia ocellicauda,454,869.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Amia ocellicauda,385,492.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Micropterus nigricans,237,198.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Micropterus nigricans,160,57.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Micropterus nigricans,142,36.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Micropterus nigricans,140,36
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Pomoxis nigromaculatus,203,151.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,120,31.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,159,80.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,131,46.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,140,59.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,133,49
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,118,31.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Lepomis gibbosus,126,38.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-080823-005A,1,Erimyzon sucetta,209,133.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,223,180
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,217,161.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,233,178.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,140,43.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,113,19.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Pomoxis nigromaculatus,38,0.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,37,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,33,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,156,81.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,171,118.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,177,114.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,39,0.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,34,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis macrochirus,34,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Notemigonus crysoleucas,94,6.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,28,0.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,20,0
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,29,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,29,0.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,21,0
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,30,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,28,0.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis sp,22,0
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis gibbosus,44,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis gibbosus,127,41.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis gibbosus,76,8.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis gibbosus,75,7.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-001A,1,Lepomis gibbosus,78,8.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,162,97.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,69,5.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,78,9.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,136,46.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,121,38.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,72,7.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,164,106.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,83,11
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,69,5.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis gibbosus,169,106.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,36,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,43,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,37,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,42,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,36,0.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,38,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,33,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,41,1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,33,0.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,41,1.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis macrochirus,34,0.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Micropterus nigricans,185,83.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Micropterus nigricans,66,3.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Micropterus nigricans,70,4.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Micropterus nigricans,294,330.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Notemigonus crysoleucas,50,0.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Umbra limi,29,0.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Umbra limi,38,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Pomoxis nigromaculatus,57,2.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-002A,1,Lepomis sp,35,0.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis gibbosus,66,4.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis gibbosus,68,5.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis gibbosus,69,5.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis gibbosus,81,9.9
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Pomoxis nigromaculatus,66,3.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Pomoxis nigromaculatus,58,2.1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Pomoxis nigromaculatus,64,3.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Pomoxis nigromaculatus,174,85.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Pomoxis nigromaculatus,123,25.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis macrochirus,34,0.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis macrochirus,37,0.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Lepomis sp,30,0.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Micropterus nigricans,50,1.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-003A,1,Amia ocellicauda,464,856.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Lepomis gibbosus,84,10.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Pomoxis nigromaculatus,225,197.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Pomoxis nigromaculatus,114,19.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Umbra limi,47,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Umbra limi,-1,-1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-004A,1,Ameiurus melas,294,426
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,102,19.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,127,39.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,114,29.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,128,40.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,84,11
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,115,30.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,117,32.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,117,30.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,134,50.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-090823-005A,1,Lepomis gibbosus,87,11.4
