Field Number,Site Code,O2logged?,Logger,Column1,Cell,Depth Category,Depth_nearshore,Depth_at box,Depth_Cod,SAV Rake Depth,SAV Category,Fil. Algae Category,Sample Kept,Total SAV weight (g),Total SAV Volume (mL),Audited by,Audit date
2023-LCS-NWA-150823-005A,E-28,TRUE,7450-770855,BLUE,East,3,0.436,0.522,0.528,0.420,1,0,TRUE,13.8,17,R. Gaspardy,1/25/2024
2023-LCS-NWA-150823-006A,E-29,TRUE,7450-064567,GREEN,East,4,0.601,0.306,0.512,0.421,1,0,TRUE,6.7,6,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-001A,E-30,TRUE,7450-049711,PINK,East,2,0.354,0.877,1.030,0.838,2,0,TRUE,244.5,285,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-002A,E-31,FALSE,NA,NA,East,2,0.415,0.890,0.930,0.850,2,0,TRUE,87.2,90,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-003A,E-32,TRUE,7450-778298,CLEAR,East,1,0.810,1.000,0.824,0.870,1,0,TRUE,61.3,82,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-004A,E-33,FALSE,NA,NA,East,1,1.300,1.750,1.000,1.750,2,0,TRUE,206.0,208,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-005A,E-34,TRUE,7450-770855,BLUE,East,1,0.722,1.054,1.630,1.010,3,0,TRUE,355.5,362,R. Gaspardy,1/25/2024
2023-LCS-NWA-160823-006A,E-35,TRUE,7450-064567,GREEN,East,1,0.891,1.220,1.122,1.220,1,2,FALSE,38.5,38,R. Gaspardy,1/25/2024
2023-LCS-NWA-210823-001A,W-01,TRUE,7450-778298,CLEAR,West,2,0.948,0.910,0.878,0.873,2,0,TRUE,216.5,255,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-002A,W-02,TRUE,7450-049711,PINK,West,1,0.886,1.174,0.967,1.174,3,0,TRUE,515.5,540,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-003A,W-03,FALSE,NA,NA,West,1,0.700,1.260,1.810,1.260,3,0,TRUE,315.0,361,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-004A,W-04,TRUE,7450-770855,BLUE,West,1,0.780,1.244,1.289,0.756,1,0,TRUE,52.0,60,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-005A,W-05,FALSE,NA,NA,West,1,0.610,1.420,1.305,0.985,2,0,TRUE,201.6,216,R. Gaspardy,1/24/2024
2023-LCS-NWA-210823-006A,W-06,TRUE,7450-064567,GREEN,West,2,0.920,0.940,0.901,0.940,3,0,TRUE,438.8,488,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-001A,W-07,TRUE,7450-770855,BLUE,West,2,0.692,0.965,0.938,0.870,3,0,TRUE,239.5,285,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-002A,W-08,FALSE,NA,NA,West,3,0.710,0.631,1.230,1.230,1,0,TRUE,47.5,54,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-003A,W-09,TRUE,7450-049711,PINK,West,2,0.524,0.721,0.782,0.843,2,0,TRUE,83.2,106,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-004A,W-10,TRUE,7450-064567,GREEN,West,3,0.698,0.630,0.652,0.630,0,0,FALSE,0.0,0,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-005A,W-11,FALSE,NA,NA,West,2,0.930,0.928,1.100,1.220,1,0,TRUE,119.9,133,R. Gaspardy,1/24/2024
2023-LCS-NWA-220823-006A,W-12,TRUE,7450-778298,CLEAR,West,3,0.376,0.560,0.648,0.678,1,0,TRUE,35.4,49,R. Gaspardy,1/24/2024
2023-LCS-NWA-240823-001A,W-13,TRUE,7450-064567,GREEN,West,2,0.448,0.850,0.670,0.657,1,0,TRUE,15.4,22,R. Gaspardy,1/26/2024
2023-LCS-NWA-240823-002A,W-14,TRUE,7450-778298,CLEAR,West,1,0.508,1.180,1.280,1.180,1,0,FALSE,1.0,2,R. Gaspardy,1/26/2024
2023-LCS-NWA-240823-003A,W-15,TRUE,7450-049711,PINK,West,1,0.860,1.000,1.320,1.060,2,0,TRUE,218.3,249,R. Gaspardy,1/26/2024
2023-LCS-NWA-240823-004A,W-16,TRUE,7450-770855,BLUE,West,2,0.950,0.928,1.090,0.950,3,0,TRUE,NA,NA,R. Gaspardy,1/26/2024
2023-LCS-NWA-240823-005A,W-17,FALSE,NA,NA,West,1,1.050,1.280,1.450,1.315,1,0,TRUE,14.7,18,R. Gaspardy,1/26/2024
2023-LCS-NWA-240823-006A,W-18,FALSE,NA,NA,West,2,0.440,0.710,1.240,0.710,1,0,FALSE,0.0,0,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-001A,W-19,TRUE,7450-049711,PINK,West,1,0.966,1.010,1.000,1.010,1,0,TRUE,32.8,36,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-002A,W-20,TRUE,7450-770855,BLUE,West,2,0.951,0.980,1.000,0.980,1,0,TRUE,3.5,4,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-003A,W-21,FALSE,NA,NA,West,1,0.764,1.010,1.020,1.010,1,1,TRUE,0.2,0,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-004A,W-22,TRUE,7450-064567,GREEN,West,1,1.140,1.140,1.150,1.140,2,0,TRUE,106.4,124,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-005A,W-23,FALSE,NA,NA,West,1,0.990,1.010,1.000,1.010,1,0,TRUE,170.4,230,R. Gaspardy,1/26/2024
2023-LCS-NWA-280823-006A,W-24,TRUE,7450-778298,CLEAR,West,1,1.000,1.060,1.050,1.050,0,0,FALSE,0.0,0,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-001A,W-25,TRUE,7450-770855,BLUE,West,1,1.010,1.030,1.050,1.030,0,0,FALSE,0.0,0,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-002A,W-26,TRUE,7450-778298,CLEAR,West,2,0.920,0.840,0.890,0.840,2,0,TRUE,47.3,56,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-003A,W-27,TRUE,7450-049711,PINK,West,1,0.990,1.040,1.090,1.040,0,1,FALSE,0.0,0,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-004A,W-28,FALSE,NA,NA,West,2,1.240,0.980,1.020,0.980,1,0,TRUE,16.5,16,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-005A,W-29,FALSE,NA,NA,West,2,0.810,0.940,1.010,0.940,1,0,TRUE,204.4,250,R. Gaspardy,1/26/2024
2023-LCS-NWA-290823-006A,W-30,TRUE,7450-064567,GREEN,West,2,1.015,0.850,1.015,0.850,3,0,TRUE,291.1,285,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-001A,W-31,TRUE,7450-064567,GREEN,West,1,0.920,1.040,1.070,0.920,3,0,TRUE,354.0,426,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-002A,W-32,TRUE,7450-049711,PINK,West,1,1.010,1.070,1.080,1.050,2,0,TRUE,422.2,512,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-003A,W-33,FALSE,NA,NA,West,1,1.020,1.070,0.980,0.930,3,0,TRUE,169.0,172,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-004A,W-34,FALSE,NA,NA,West,2,0.970,0.960,1.020,0.960,3,0,TRUE,367.3,422,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-005A,W-35,TRUE,7450-770855,BLUE,West,1,0.790,1.080,0.960,1.080,2,0,TRUE,294.2,311,R. Gaspardy,1/26/2024
2023-LCS-NWA-300823-006A,W-36,TRUE,7450-778298,CLEAR,West,2,0.650,0.880,1.030,0.880,1,0,TRUE,30.5,40,R. Gaspardy,1/26/2024
