Time_sec,BV_Volts,Temperature_C,DO_mgL,Q,SN,InWater,DateTime,Field.Number,Date,Time,www.epochconverter.com,0.006944444
1691537220,3.42,22.413,2.934,0.974,7450-064567,TRUE,8/8/2023 19:27,2023-LCS-NWA-080823-003A,8/8/2023,19:27,,
1691537580,3.42,24.797,8.832,0.921,7450-049711,TRUE,8/8/2023 19:33,2023-LCS-NWA-080823-002A,8/8/2023,19:33,,
1691537820,3.42,24.119,7.995,0.967,7450-770855,TRUE,8/8/2023 19:37,2023-LCS-NWA-080823-001A,8/8/2023,19:37,,
1691537820,3.42,22.379,2.848,0.974,7450-064567,TRUE,8/8/2023 19:37,2023-LCS-NWA-080823-003A,8/8/2023,19:37,,
1691538120,3.45,22.798,2.222,0.984,7450-778298,TRUE,8/8/2023 19:42,2023-LCS-NWA-080823-005A,8/8/2023,19:42,,
1691538180,3.42,24.814,9.355,0.922,7450-049711,TRUE,8/8/2023 19:43,2023-LCS-NWA-080823-002A,8/8/2023,19:43,,
1691538420,3.42,24.111,7.959,0.966,7450-770855,TRUE,8/8/2023 19:47,2023-LCS-NWA-080823-001A,8/8/2023,19:47,,
1691538420,3.42,22.304,2.673,0.974,7450-064567,TRUE,8/8/2023 19:47,2023-LCS-NWA-080823-003A,8/8/2023,19:47,,
1691538720,3.46,22.229,2.078,0.985,7450-778298,TRUE,8/8/2023 19:52,2023-LCS-NWA-080823-005A,8/8/2023,19:52,,
1691538780,3.42,24.797,9.086,0.922,7450-049711,TRUE,8/8/2023 19:53,2023-LCS-NWA-080823-002A,8/8/2023,19:53,,
1691539020,3.42,24.094,8.029,0.965,7450-770855,TRUE,8/8/2023 19:57,2023-LCS-NWA-080823-001A,8/8/2023,19:57,,
1691539020,3.42,22.296,2.588,0.975,7450-064567,TRUE,8/8/2023 19:57,2023-LCS-NWA-080823-003A,8/8/2023,19:57,,
1691539320,3.45,21.987,2.081,0.986,7450-778298,TRUE,8/8/2023 20:02,2023-LCS-NWA-080823-005A,8/8/2023,20:02,,
1691539380,3.42,24.738,9.728,0.923,7450-049711,TRUE,8/8/2023 20:03,2023-LCS-NWA-080823-002A,8/8/2023,20:03,,
1691539620,3.42,24.086,7.784,0.966,7450-770855,TRUE,8/8/2023 20:07,2023-LCS-NWA-080823-001A,8/8/2023,20:07,,
1691539620,3.42,22.271,2.431,0.975,7450-064567,TRUE,8/8/2023 20:07,2023-LCS-NWA-080823-003A,8/8/2023,20:07,,
1691539920,3.45,21.836,1.644,0.985,7450-778298,TRUE,8/8/2023 20:12,2023-LCS-NWA-080823-005A,8/8/2023,20:12,,
1691539980,3.42,24.738,9.997,0.922,7450-049711,TRUE,8/8/2023 20:13,2023-LCS-NWA-080823-002A,8/8/2023,20:13,,
1691540220,3.42,24.111,7.833,0.966,7450-770855,TRUE,8/8/2023 20:17,2023-LCS-NWA-080823-001A,8/8/2023,20:17,,
1691540220,3.42,22.287,2.692,0.975,7450-064567,TRUE,8/8/2023 20:17,2023-LCS-NWA-080823-003A,8/8/2023,20:17,,
1691540520,3.45,21.819,1.855,0.985,7450-778298,TRUE,8/8/2023 20:22,2023-LCS-NWA-080823-005A,8/8/2023,20:22,,
1691540580,3.42,24.721,10.072,0.923,7450-049711,TRUE,8/8/2023 20:23,2023-LCS-NWA-080823-002A,8/8/2023,20:23,,
1691540820,3.42,24.102,7.926,0.966,7450-770855,TRUE,8/8/2023 20:27,2023-LCS-NWA-080823-001A,8/8/2023,20:27,,
1691540820,3.42,22.246,3.065,0.975,7450-064567,TRUE,8/8/2023 20:27,2023-LCS-NWA-080823-003A,8/8/2023,20:27,,
1691541120,3.45,21.895,1.474,0.984,7450-778298,TRUE,8/8/2023 20:32,2023-LCS-NWA-080823-005A,8/8/2023,20:32,,
1691541180,3.42,24.679,10.303,0.923,7450-049711,TRUE,8/8/2023 20:33,2023-LCS-NWA-080823-002A,8/8/2023,20:33,,
1691541420,3.42,24.119,7.859,0.966,7450-770855,TRUE,8/8/2023 20:37,2023-LCS-NWA-080823-001A,8/8/2023,20:37,,
1691541420,3.42,22.404,4.087,0.975,7450-064567,TRUE,8/8/2023 20:37,2023-LCS-NWA-080823-003A,8/8/2023,20:37,,
1691541720,3.45,21.685,1.362,0.984,7450-778298,TRUE,8/8/2023 20:42,2023-LCS-NWA-080823-005A,8/8/2023,20:42,,
1691541780,3.42,24.427,10.23,0.922,7450-049711,TRUE,8/8/2023 20:43,2023-LCS-NWA-080823-002A,8/8/2023,20:43,,
1691542020,3.42,24.111,7.824,0.966,7450-770855,TRUE,8/8/2023 20:47,2023-LCS-NWA-080823-001A,8/8/2023,20:47,,
1691542020,3.42,22.513,4.653,0.975,7450-064567,TRUE,8/8/2023 20:47,2023-LCS-NWA-080823-003A,8/8/2023,20:47,,
1691542320,3.45,21.853,1.622,0.985,7450-778298,TRUE,8/8/2023 20:52,2023-LCS-NWA-080823-005A,8/8/2023,20:52,,
1691542380,3.42,24.301,10.829,0.923,7450-049711,TRUE,8/8/2023 20:53,2023-LCS-NWA-080823-002A,8/8/2023,20:53,,
1691542620,3.42,24.144,7.754,0.966,7450-770855,TRUE,8/8/2023 20:57,2023-LCS-NWA-080823-001A,8/8/2023,20:57,,
1691542620,3.42,22.764,5.252,0.975,7450-064567,TRUE,8/8/2023 20:57,2023-LCS-NWA-080823-003A,8/8/2023,20:57,,
1691542920,3.45,21.819,2.14,0.986,7450-778298,TRUE,8/8/2023 21:02,2023-LCS-NWA-080823-005A,8/8/2023,21:02,,
1691542980,3.42,24.209,10.889,0.924,7450-049711,TRUE,8/8/2023 21:03,2023-LCS-NWA-080823-002A,8/8/2023,21:03,,
1691543220,3.42,24.161,8.06,0.967,7450-770855,TRUE,8/8/2023 21:07,2023-LCS-NWA-080823-001A,8/8/2023,21:07,,
1691543220,3.42,22.639,4.626,0.975,7450-064567,TRUE,8/8/2023 21:07,2023-LCS-NWA-080823-003A,8/8/2023,21:07,,
1691543520,3.45,21.711,1.828,0.985,7450-778298,TRUE,8/8/2023 21:12,2023-LCS-NWA-080823-005A,8/8/2023,21:12,,
1691543580,3.42,24.176,10.98,0.924,7450-049711,TRUE,8/8/2023 21:13,2023-LCS-NWA-080823-002A,8/8/2023,21:13,,
1691543820,3.42,24.203,8.661,0.966,7450-770855,TRUE,8/8/2023 21:17,2023-LCS-NWA-080823-001A,8/8/2023,21:17,,
1691543820,3.42,22.789,5.138,0.975,7450-064567,TRUE,8/8/2023 21:17,2023-LCS-NWA-080823-003A,8/8/2023,21:17,,
1691544120,3.45,21.677,1.754,0.985,7450-778298,TRUE,8/8/2023 21:22,2023-LCS-NWA-080823-005A,8/8/2023,21:22,,
1691544180,3.42,24.134,10.763,0.921,7450-049711,TRUE,8/8/2023 21:23,2023-LCS-NWA-080823-002A,8/8/2023,21:23,,
1691544420,3.42,24.237,8.797,0.965,7450-770855,TRUE,8/8/2023 21:27,2023-LCS-NWA-080823-001A,8/8/2023,21:27,,
1691544420,3.42,22.689,4.996,0.974,7450-064567,TRUE,8/8/2023 21:27,2023-LCS-NWA-080823-003A,8/8/2023,21:27,,
1691544720,3.45,21.685,2.278,0.986,7450-778298,TRUE,8/8/2023 21:32,2023-LCS-NWA-080823-005A,8/8/2023,21:32,,
1691544780,3.42,23.84,10.266,0.921,7450-049711,TRUE,8/8/2023 21:33,2023-LCS-NWA-080823-002A,8/8/2023,21:33,,
1691545020,3.42,24.169,8.82,0.965,7450-770855,TRUE,8/8/2023 21:37,2023-LCS-NWA-080823-001A,8/8/2023,21:37,,
1691545020,3.42,22.597,4.847,0.974,7450-064567,TRUE,8/8/2023 21:37,2023-LCS-NWA-080823-003A,8/8/2023,21:37,,
1691545320,3.45,21.685,2.112,0.985,7450-778298,TRUE,8/8/2023 21:42,2023-LCS-NWA-080823-005A,8/8/2023,21:42,,
1691545380,3.42,23.781,9.678,0.92,7450-049711,TRUE,8/8/2023 21:43,2023-LCS-NWA-080823-002A,8/8/2023,21:43,,
1691545620,3.42,24.153,9.04,0.965,7450-770855,TRUE,8/8/2023 21:47,2023-LCS-NWA-080823-001A,8/8/2023,21:47,,
1691545620,3.42,22.513,4.423,0.975,7450-064567,TRUE,8/8/2023 21:47,2023-LCS-NWA-080823-003A,8/8/2023,21:47,,
1691545920,3.45,21.711,1.866,0.985,7450-778298,TRUE,8/8/2023 21:52,2023-LCS-NWA-080823-005A,8/8/2023,21:52,,
1691545980,3.42,23.756,10.075,0.921,7450-049711,TRUE,8/8/2023 21:53,2023-LCS-NWA-080823-002A,8/8/2023,21:53,,
1691546220,3.42,24.069,8.801,0.965,7450-770855,TRUE,8/8/2023 21:57,2023-LCS-NWA-080823-001A,8/8/2023,21:57,,
1691546220,3.42,22.421,4.187,0.975,7450-064567,TRUE,8/8/2023 21:57,2023-LCS-NWA-080823-003A,8/8/2023,21:57,,
1691546520,3.45,21.685,1.878,0.985,7450-778298,TRUE,8/8/2023 22:02,2023-LCS-NWA-080823-005A,8/8/2023,22:02,,
1691546580,3.42,23.731,9.871,0.921,7450-049711,TRUE,8/8/2023 22:03,2023-LCS-NWA-080823-002A,8/8/2023,22:03,,
1691546820,3.42,24.01,8.658,0.966,7450-770855,TRUE,8/8/2023 22:07,2023-LCS-NWA-080823-001A,8/8/2023,22:07,,
1691546820,3.42,22.438,4.366,0.975,7450-064567,TRUE,8/8/2023 22:07,2023-LCS-NWA-080823-003A,8/8/2023,22:07,,
1691547120,3.45,21.936,2.611,0.985,7450-778298,TRUE,8/8/2023 22:12,2023-LCS-NWA-080823-005A,8/8/2023,22:12,,
1691547180,3.42,23.622,9.789,0.92,7450-049711,TRUE,8/8/2023 22:13,2023-LCS-NWA-080823-002A,8/8/2023,22:13,,
1691547420,3.42,23.993,8.779,0.965,7450-770855,TRUE,8/8/2023 22:17,2023-LCS-NWA-080823-001A,8/8/2023,22:17,,
1691547420,3.42,22.43,4.263,0.975,7450-064567,TRUE,8/8/2023 22:17,2023-LCS-NWA-080823-003A,8/8/2023,22:17,,
1691547720,3.45,21.803,2.236,0.985,7450-778298,TRUE,8/8/2023 22:22,2023-LCS-NWA-080823-005A,8/8/2023,22:22,,
1691547780,3.42,23.563,9.451,0.92,7450-049711,TRUE,8/8/2023 22:23,2023-LCS-NWA-080823-002A,8/8/2023,22:23,,
1691548020,3.42,23.935,8.558,0.965,7450-770855,TRUE,8/8/2023 22:27,2023-LCS-NWA-080823-001A,8/8/2023,22:27,,
1691548020,3.42,22.363,3.869,0.975,7450-064567,TRUE,8/8/2023 22:27,2023-LCS-NWA-080823-003A,8/8/2023,22:27,,
1691548320,3.45,21.92,2.383,0.985,7450-778298,TRUE,8/8/2023 22:32,2023-LCS-NWA-080823-005A,8/8/2023,22:32,,
1691548380,3.42,23.488,9.391,0.92,7450-049711,TRUE,8/8/2023 22:33,2023-LCS-NWA-080823-002A,8/8/2023,22:33,,
1691548620,3.42,23.952,8.634,0.963,7450-770855,TRUE,8/8/2023 22:37,2023-LCS-NWA-080823-001A,8/8/2023,22:37,,
1691548620,3.42,22.304,3.623,0.975,7450-064567,TRUE,8/8/2023 22:37,2023-LCS-NWA-080823-003A,8/8/2023,22:37,,
1691548920,3.45,21.794,2.04,0.985,7450-778298,TRUE,8/8/2023 22:42,2023-LCS-NWA-080823-005A,8/8/2023,22:42,,
1691548980,3.42,23.455,9.191,0.92,7450-049711,TRUE,8/8/2023 22:43,2023-LCS-NWA-080823-002A,8/8/2023,22:43,,
1691549220,3.42,23.918,8.406,0.963,7450-770855,TRUE,8/8/2023 22:47,2023-LCS-NWA-080823-001A,8/8/2023,22:47,,
1691549220,3.42,22.237,3.262,0.975,7450-064567,TRUE,8/8/2023 22:47,2023-LCS-NWA-080823-003A,8/8/2023,22:47,,
1691549520,3.45,21.844,2.412,0.985,7450-778298,TRUE,8/8/2023 22:52,2023-LCS-NWA-080823-005A,8/8/2023,22:52,,
1691549580,3.42,23.312,8.862,0.92,7450-049711,TRUE,8/8/2023 22:53,2023-LCS-NWA-080823-002A,8/8/2023,22:53,,
1691549820,3.42,23.859,8.28,0.962,7450-770855,TRUE,8/8/2023 22:57,2023-LCS-NWA-080823-001A,8/8/2023,22:57,,
1691549820,3.42,22.246,3.547,0.975,7450-064567,TRUE,8/8/2023 22:57,2023-LCS-NWA-080823-003A,8/8/2023,22:57,,
1691550120,3.45,21.903,2.304,0.985,7450-778298,TRUE,8/8/2023 23:02,2023-LCS-NWA-080823-005A,8/8/2023,23:02,,
1691550180,3.42,23.228,8.477,0.919,7450-049711,TRUE,8/8/2023 23:03,2023-LCS-NWA-080823-002A,8/8/2023,23:03,,
1691550420,3.42,23.776,8.121,0.964,7450-770855,TRUE,8/8/2023 23:07,2023-LCS-NWA-080823-001A,8/8/2023,23:07,,
1691550420,3.42,22.229,3.521,0.975,7450-064567,TRUE,8/8/2023 23:07,2023-LCS-NWA-080823-003A,8/8/2023,23:07,,
1691550720,3.45,21.911,2.388,0.985,7450-778298,TRUE,8/8/2023 23:12,2023-LCS-NWA-080823-005A,8/8/2023,23:12,,
1691550780,3.42,23.17,8.305,0.919,7450-049711,TRUE,8/8/2023 23:13,2023-LCS-NWA-080823-002A,8/8/2023,23:13,,
1691551020,3.42,23.717,7.936,0.963,7450-770855,TRUE,8/8/2023 23:17,2023-LCS-NWA-080823-001A,8/8/2023,23:17,,
1691551020,3.42,22.137,3.296,0.975,7450-064567,TRUE,8/8/2023 23:17,2023-LCS-NWA-080823-003A,8/8/2023,23:17,,
1691551320,3.45,21.836,2.39,0.985,7450-778298,TRUE,8/8/2023 23:22,2023-LCS-NWA-080823-005A,8/8/2023,23:22,,
1691551380,3.42,23.111,7.871,0.918,7450-049711,TRUE,8/8/2023 23:23,2023-LCS-NWA-080823-002A,8/8/2023,23:23,,
1691551620,3.42,23.658,7.739,0.963,7450-770855,TRUE,8/8/2023 23:27,2023-LCS-NWA-080823-001A,8/8/2023,23:27,,
1691551620,3.41,22.103,3.151,0.975,7450-064567,TRUE,8/8/2023 23:27,2023-LCS-NWA-080823-003A,8/8/2023,23:27,,
1691551920,3.45,21.895,2.751,0.985,7450-778298,TRUE,8/8/2023 23:32,2023-LCS-NWA-080823-005A,8/8/2023,23:32,,
1691551980,3.42,23.036,7.964,0.918,7450-049711,TRUE,8/8/2023 23:33,2023-LCS-NWA-080823-002A,8/8/2023,23:33,,
1691552220,3.42,23.583,7.606,0.962,7450-770855,TRUE,8/8/2023 23:37,2023-LCS-NWA-080823-001A,8/8/2023,23:37,,
1691552220,3.42,22.02,2.86,0.975,7450-064567,TRUE,8/8/2023 23:37,2023-LCS-NWA-080823-003A,8/8/2023,23:37,,
1691552520,3.45,22.054,3.496,0.985,7450-778298,TRUE,8/8/2023 23:42,2023-LCS-NWA-080823-005A,8/8/2023,23:42,,
1691552580,3.42,23.019,7.921,0.919,7450-049711,TRUE,8/8/2023 23:43,2023-LCS-NWA-080823-002A,8/8/2023,23:43,,
1691552820,3.42,23.516,7.491,0.962,7450-770855,TRUE,8/8/2023 23:47,2023-LCS-NWA-080823-001A,8/8/2023,23:47,,
1691552820,3.42,21.995,2.869,0.975,7450-064567,TRUE,8/8/2023 23:47,2023-LCS-NWA-080823-003A,8/8/2023,23:47,,
1691553120,3.45,21.978,2.894,0.985,7450-778298,TRUE,8/8/2023 23:52,2023-LCS-NWA-080823-005A,8/8/2023,23:52,,
1691553180,3.42,22.977,7.749,0.918,7450-049711,TRUE,8/8/2023 23:53,2023-LCS-NWA-080823-002A,8/8/2023,23:53,,
1691553420,3.42,23.457,7.245,0.962,7450-770855,TRUE,8/8/2023 23:57,2023-LCS-NWA-080823-001A,8/8/2023,23:57,,
1691553420,3.42,21.903,2.63,0.975,7450-064567,TRUE,8/8/2023 23:57,2023-LCS-NWA-080823-003A,8/8/2023,23:57,,
1691553720,3.45,21.987,2.996,0.985,7450-778298,TRUE,8/9/2023 0:02,2023-LCS-NWA-080823-005A,8/9/2023,0:02,,
1691553780,3.42,22.91,7.337,0.918,7450-049711,TRUE,8/9/2023 0:03,2023-LCS-NWA-080823-002A,8/9/2023,0:03,,
1691554020,3.42,23.399,6.979,0.962,7450-770855,TRUE,8/9/2023 0:07,2023-LCS-NWA-080823-001A,8/9/2023,0:07,,
1691554020,3.42,21.894,2.565,0.975,7450-064567,TRUE,8/9/2023 0:07,2023-LCS-NWA-080823-003A,8/9/2023,0:07,,
1691554320,3.45,21.953,2.951,0.986,7450-778298,TRUE,8/9/2023 0:12,2023-LCS-NWA-080823-005A,8/9/2023,0:12,,
1691554380,3.42,22.877,7.39,0.918,7450-049711,TRUE,8/9/2023 0:13,2023-LCS-NWA-080823-002A,8/9/2023,0:13,,
1691554620,3.42,23.34,6.818,0.962,7450-770855,TRUE,8/9/2023 0:17,2023-LCS-NWA-080823-001A,8/9/2023,0:17,,
1691554620,3.42,21.869,2.329,0.975,7450-064567,TRUE,8/9/2023 0:17,2023-LCS-NWA-080823-003A,8/9/2023,0:17,,
1691554920,3.45,21.878,2.756,0.986,7450-778298,TRUE,8/9/2023 0:22,2023-LCS-NWA-080823-005A,8/9/2023,0:22,,
1691554980,3.42,22.818,7.113,0.918,7450-049711,TRUE,8/9/2023 0:23,2023-LCS-NWA-080823-002A,8/9/2023,0:23,,
1691555220,3.42,23.307,4.391,0.901,7450-770855,TRUE,8/9/2023 0:27,2023-LCS-NWA-080823-001A,8/9/2023,0:27,,
1691555220,3.42,21.819,2.216,0.975,7450-064567,TRUE,8/9/2023 0:27,2023-LCS-NWA-080823-003A,8/9/2023,0:27,,
1691555520,3.45,21.92,2.699,0.986,7450-778298,TRUE,8/9/2023 0:32,2023-LCS-NWA-080823-005A,8/9/2023,0:32,,
1691555580,3.42,22.793,7.067,0.918,7450-049711,TRUE,8/9/2023 0:33,2023-LCS-NWA-080823-002A,8/9/2023,0:33,,
1691555820,3.42,23.24,4.583,0.931,7450-770855,TRUE,8/9/2023 0:37,2023-LCS-NWA-080823-001A,8/9/2023,0:37,,
1691555820,3.42,21.761,2.013,0.974,7450-064567,TRUE,8/9/2023 0:37,2023-LCS-NWA-080823-003A,8/9/2023,0:37,,
1691556120,3.45,21.769,2.303,0.985,7450-778298,TRUE,8/9/2023 0:42,2023-LCS-NWA-080823-005A,8/9/2023,0:42,,
1691556180,3.42,22.76,6.941,0.918,7450-049711,TRUE,8/9/2023 0:43,2023-LCS-NWA-080823-002A,8/9/2023,0:43,,
1691556420,3.42,23.19,4.673,0.944,7450-770855,TRUE,8/9/2023 0:47,2023-LCS-NWA-080823-001A,8/9/2023,0:47,,
1691556420,3.42,21.736,1.94,0.974,7450-064567,TRUE,8/9/2023 0:47,2023-LCS-NWA-080823-003A,8/9/2023,0:47,,
1691556720,3.45,21.794,2.345,0.986,7450-778298,TRUE,8/9/2023 0:52,2023-LCS-NWA-080823-005A,8/9/2023,0:52,,
1691556780,3.42,22.751,6.897,0.918,7450-049711,TRUE,8/9/2023 0:53,2023-LCS-NWA-080823-002A,8/9/2023,0:53,,
1691557020,3.42,23.165,4.594,0.953,7450-770855,TRUE,8/9/2023 0:57,2023-LCS-NWA-080823-001A,8/9/2023,0:57,,
1691557020,3.42,21.71,1.732,0.974,7450-064567,TRUE,8/9/2023 0:57,2023-LCS-NWA-080823-003A,8/9/2023,0:57,,
1691557320,3.45,21.719,2.046,0.985,7450-778298,TRUE,8/9/2023 1:02,2023-LCS-NWA-080823-005A,8/9/2023,1:02,,
1691557380,3.42,22.71,6.793,0.919,7450-049711,TRUE,8/9/2023 1:03,2023-LCS-NWA-080823-002A,8/9/2023,1:03,,
1691557620,3.42,23.114,4.375,0.959,7450-770855,TRUE,8/9/2023 1:07,2023-LCS-NWA-080823-001A,8/9/2023,1:07,,
1691557620,3.42,21.669,1.636,0.973,7450-064567,TRUE,8/9/2023 1:07,2023-LCS-NWA-080823-003A,8/9/2023,1:07,,
1691557920,3.45,21.861,2.461,0.986,7450-778298,TRUE,8/9/2023 1:12,2023-LCS-NWA-080823-005A,8/9/2023,1:12,,
1691557980,3.42,22.676,6.794,0.918,7450-049711,TRUE,8/9/2023 1:13,2023-LCS-NWA-080823-002A,8/9/2023,1:13,,
1691558220,3.42,23.056,4.606,0.957,7450-770855,TRUE,8/9/2023 1:17,2023-LCS-NWA-080823-001A,8/9/2023,1:17,,
1691558220,3.42,21.652,1.403,0.972,7450-064567,TRUE,8/9/2023 1:17,2023-LCS-NWA-080823-003A,8/9/2023,1:17,,
1691558520,3.45,21.869,2.385,0.986,7450-778298,TRUE,8/9/2023 1:22,2023-LCS-NWA-080823-005A,8/9/2023,1:22,,
1691558580,3.42,22.626,6.499,0.918,7450-049711,TRUE,8/9/2023 1:23,2023-LCS-NWA-080823-002A,8/9/2023,1:23,,
1691558820,3.42,23.022,4.502,0.962,7450-770855,TRUE,8/9/2023 1:27,2023-LCS-NWA-080823-001A,8/9/2023,1:27,,
1691558820,3.42,21.618,1.376,0.972,7450-064567,TRUE,8/9/2023 1:27,2023-LCS-NWA-080823-003A,8/9/2023,1:27,,
1691559120,3.45,21.878,2.284,0.986,7450-778298,TRUE,8/9/2023 1:32,2023-LCS-NWA-080823-005A,8/9/2023,1:32,,
1691559180,3.42,22.592,6.415,0.918,7450-049711,TRUE,8/9/2023 1:33,2023-LCS-NWA-080823-002A,8/9/2023,1:33,,
1691559420,3.42,22.972,4.581,0.96,7450-770855,TRUE,8/9/2023 1:37,2023-LCS-NWA-080823-001A,8/9/2023,1:37,,
1691559420,3.42,21.602,1.286,0.971,7450-064567,TRUE,8/9/2023 1:37,2023-LCS-NWA-080823-003A,8/9/2023,1:37,,
1691559720,3.45,21.828,2.053,0.985,7450-778298,TRUE,8/9/2023 1:42,2023-LCS-NWA-080823-005A,8/9/2023,1:42,,
1691559780,3.42,22.559,6.191,0.917,7450-049711,TRUE,8/9/2023 1:43,2023-LCS-NWA-080823-002A,8/9/2023,1:43,,
1691560020,3.42,22.947,4.57,0.959,7450-770855,TRUE,8/9/2023 1:47,2023-LCS-NWA-080823-001A,8/9/2023,1:47,,
1691560020,3.42,21.568,1.176,0.97,7450-064567,TRUE,8/9/2023 1:47,2023-LCS-NWA-080823-003A,8/9/2023,1:47,,
1691560320,3.45,21.844,2.168,0.985,7450-778298,TRUE,8/9/2023 1:52,2023-LCS-NWA-080823-005A,8/9/2023,1:52,,
