,Field.Number,Project.Name,Project,Bin.Number,Number.Captured,Species,Minimum..mm.,Maximum..mm.,Year,Historical.Project.Code,Date,Day,Month,Date.fished,Waterbody.Name,Start.Time,Stop.Time,Start.Latitude,Start.Longitude,Gear,Effort,Quantification.of.Effort,Air.Temperature,Water.Temperature,Conductivity,Dissolved.Oxygen,pH,Secchi.Tube...measured,Secchi.Tube..m.,Turbidity..ntu.,Stream.Width..m.,Distance.From.Shore..m.,Sample.Area.Width..m.,Sample.Area.Length..m.,Dominant.Vegetation,Floodplain.Use,Bank.Slope....,Channel.Cover....,Weather.Conditions,Wind.Speed..km.h.,Wind.Direction,Weather.Notes,Organic,Clay,Silt,Sand,Gravel,Cobble,Boulder,Bedrock,Hardpan,Rubble,Concrete,ND,Dominant_substrate,Emergent,Floating,Submerged,Open.Water,Not_recorded_aqua_veg,Dominant_aqua_veg,Deciduous,Coniferous,Herbaceous,shrubs,None,tbl1.4_riparian_veg.Unknown,Not.recorded,Dominant_riparian_veg,Aquatic.Animal.Notes,Description.of.Gear,Narrative.Locality.Description,Notes_SpeciesID,Final.Notes,Mean_depth_m
11,2023-LCS-NWA-080823-003A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Umbra limi,29,29,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,4.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,35,10,NA,Floating,0,0,80,20,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L.",0.98
12,2023-LCS-NWA-080823-003A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Amia ocellicauda,516,516,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,4.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,35,10,NA,Floating,0,0,80,20,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L.",0.98
13,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,2,Lepomis macrochirus,56,56,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
14,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,9,Pomoxis nigromaculatus,51,139,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
15,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,5,Micropterus nigricans,72,234,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
16,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,2,Notemigonus crysoleucas,47,53,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
17,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,5,Lepomis gibbosus,69,140,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
18,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Umbra limi,27,27,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
19,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,12,Erimyzon sucetta,35,49,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
20,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Ameiurus melas,306,306,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
21,2023-LCS-NWA-080823-004A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Amia ocellicauda,454,454,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,NA,13.42,NA,NA,NA,NA,Myriophyllum spicatum,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.,1.25
22,2023-LCS-NWA-080823-005A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Amia ocellicauda,385,385,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L",1.32
23,2023-LCS-NWA-080823-005A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,4,Micropterus nigricans,140,237,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L",1.32
24,2023-LCS-NWA-080823-005A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Pomoxis nigromaculatus,203,203,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L",1.32
25,2023-LCS-NWA-080823-005A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,7,Lepomis gibbosus,118,159,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L",1.32
26,2023-LCS-NWA-080823-005A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Erimyzon sucetta,209,209,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,40,5,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L",1.32
27,2023-LCS-NWA-090823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,6,Pomoxis nigromaculatus,38,233,2023,,9-Aug-23,9,8,10-Aug-23,St. Clair NWA - East Cell SCU,3:56:00 PM,8:18:00 AM,42.37432,-82.39981,MFN,16.37,hours,27.7,25.77,484.2,8.85,8.01,TRUE,NA,6.5,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,7.4,SW,"hazy, breezy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,10,20,60,10,NA,Submerged,0,0,45,55,0,0,NA,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm",,"Secchi tube depth was greater than 1.2 m. Fyke logger @8:20 am: 23.27 degrees C, 3.34 mg/L",1.58
28,2023-LCS-NWA-090823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,8,Lepomis macrochirus,33,177,2023,,9-Aug-23,9,8,10-Aug-23,St. Clair NWA - East Cell SCU,3:56:00 PM,8:18:00 AM,42.37432,-82.39981,MFN,16.37,hours,27.7,25.77,484.2,8.85,8.01,TRUE,NA,6.5,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,7.4,SW,"hazy, breezy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,10,20,60,10,NA,Submerged,0,0,45,55,0,0,NA,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm",,"Secchi tube depth was greater than 1.2 m. Fyke logger @8:20 am: 23.27 degrees C, 3.34 mg/L",1.58
29,2023-LCS-NWA-090823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Notemigonus crysoleucas,94,94,2023,,9-Aug-23,9,8,10-Aug-23,St. Clair NWA - East Cell SCU,3:56:00 PM,8:18:00 AM,42.37432,-82.39981,MFN,16.37,hours,27.7,25.77,484.2,8.85,8.01,TRUE,NA,6.5,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,7.4,SW,"hazy, breezy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,10,20,60,10,NA,Submerged,0,0,45,55,0,0,NA,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm",,"Secchi tube depth was greater than 1.2 m. Fyke logger @8:20 am: 23.27 degrees C, 3.34 mg/L",1.58
