Field.Number,Year,Species,Common.Name,Weight_g,Volume_mL,Cell,Rake_depth_m,SAV_category,Algae_category
2023-LCS-NWA-160823-002A,2023,Ceratophyllum demersum,Coontail,29.6,30,East cell,0.85,2,0
2023-LCS-NWA-160823-002A,2023,Stuckenia pectinatus,Sago pondweed,10.9,12,East cell,0.85,2,0
2023-LCS-NWA-160823-003A,2023,Ceratophyllum demersum,Coontail,0.8,2,East cell,0.87,1,0
2023-LCS-NWA-160823-003A,2023,Nymphaea sp.,White water lily,60.5,80,East cell,0.87,1,0
2023-LCS-NWA-160823-004A,2023,Elodea canadensis,Canada waterweed,9.2,8,East cell,1.75,2,0
2023-LCS-NWA-160823-004A,2023,Ceratophyllum demersum,Coontail,196.8,200,East cell,1.75,2,0
2023-LCS-NWA-160823-005A,2023,Elodea canadensis,Canada waterweed,34.8,40,East cell,1.01,3,0
2023-LCS-NWA-160823-005A,2023,Ceratophyllum demersum,Coontail,301.1,300,East cell,1.01,3,0
2023-LCS-NWA-160823-005A,2023,Lemna sp.,Duckweed sp.,0,0,East cell,1.01,3,0
2023-LCS-NWA-160823-005A,2023,Lemna trisulca,Star duckweed,0,0,East cell,1.01,3,0
2023-LCS-NWA-160823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,11.2,12,East cell,1.01,3,0
2023-LCS-NWA-160823-005A,2023,Potamogeton pusillus,Slender pondweed,8.4,10,East cell,1.01,3,0
2023-LCS-NWA-160823-006A,2023,Algae,Algae,38.3,38,East cell,1.22,1,2
2023-LCS-NWA-160823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,0.2,0,East cell,1.22,1,2
2023-LCS-NWA-210823-001A,2023,Utricularia sp.,Bladderwort sp.,35.6,55,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Ceratophyllum demersum,Coontail,63.5,70,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Lemna trisulca,Star duckweed,0.4,2,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,7.3,8,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Potamogeton pusillus,Slender pondweed,0.2,0,West cell,0.873,2,0
2023-LCS-NWA-210823-001A,2023,Nymphaea sp.,White water lily,109.5,120,West cell,0.873,2,0
2023-LCS-NWA-210823-002A,2023,Elodea canadensis,Canada waterweed,208.4,210,West cell,1.174,3,0
2023-LCS-NWA-210823-002A,2023,Ceratophyllum demersum,Coontail,131.3,130,West cell,1.174,3,0
2023-LCS-NWA-210823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,175.8,200,West cell,1.174,3,0
2023-LCS-NWA-210823-003A,2023,Utricularia sp.,Bladderwort sp.,22,25,West cell,1.26,3,0
2023-LCS-NWA-210823-003A,2023,Elodea canadensis,Canada waterweed,2.1,4,West cell,1.26,3,0
2023-LCS-NWA-210823-003A,2023,Ceratophyllum demersum,Coontail,0.8,0,West cell,1.26,3,0
2023-LCS-NWA-210823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,1.8,2,West cell,1.26,3,0
2023-LCS-NWA-210823-003A,2023,Nymphaea sp.,White water lily,288.3,330,West cell,1.26,3,0
2023-LCS-NWA-210823-004A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.756,1,0
2023-LCS-NWA-210823-004A,2023,Nymphaea sp.,White water lily,52,60,West cell,0.756,1,0
2023-LCS-NWA-210823-005A,2023,Utricularia sp.,Bladderwort sp.,9.1,10,West cell,0.985,2,0
2023-LCS-NWA-210823-005A,2023,Elodea canadensis,Canada waterweed,55.9,60,West cell,0.985,2,0
2023-LCS-NWA-210823-005A,2023,Ceratophyllum demersum,Coontail,78.7,80,West cell,0.985,2,0
2023-LCS-NWA-210823-005A,2023,Lemna trisulca,Star duckweed,0.7,0,West cell,0.985,2,0
2023-LCS-NWA-210823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,23.9,30,West cell,0.985,2,0
2023-LCS-NWA-210823-005A,2023,Nymphaea sp.,White water lily,33.3,36,West cell,0.985,2,0
2023-LCS-NWA-210823-006A,2023,Utricularia sp.,Bladderwort sp.,95.4,100,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Ceratophyllum demersum,Coontail,1.5,2,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Lemna trisulca,Star duckweed,1.1,0,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,22,26,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Potamogeton pusillus,Slender pondweed,1.2,0,West cell,0.94,3,0
2023-LCS-NWA-210823-006A,2023,Nymphaea sp.,White water lily,317.6,360,West cell,0.94,3,0
2023-LCS-NWA-220823-001A,2023,Utricularia sp.,Bladderwort sp.,39.9,45,West cell,0.87,3,0
2023-LCS-NWA-220823-001A,2023,Ceratophyllum demersum,Coontail,7,8,West cell,0.87,3,0
2023-LCS-NWA-220823-001A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.87,3,0
2023-LCS-NWA-220823-001A,2023,Lemna trisulca,Star duckweed,20.9,22,West cell,0.87,3,0
2023-LCS-NWA-220823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,8.8,10,West cell,0.87,3,0
2023-LCS-NWA-220823-001A,2023,Nymphaea sp.,White water lily,162.9,200,West cell,0.87,3,0
2023-LCS-NWA-220823-002A,2023,Utricularia sp.,Bladderwort sp.,6.8,10,West cell,1.23,1,0
2023-LCS-NWA-220823-002A,2023,Ceratophyllum demersum,Coontail,4.7,4,West cell,1.23,1,0
2023-LCS-NWA-220823-002A,2023,Nymphaea sp.,White water lily,36,40,West cell,1.23,1,0
2023-LCS-NWA-220823-003A,2023,Ceratophyllum demersum,Coontail,3.9,6,West cell,0.843,2,0
2023-LCS-NWA-220823-003A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.843,2,0
2023-LCS-NWA-220823-003A,2023,Nelumbo lutea,American lotus,79.3,100,West cell,0.843,2,0
2023-LCS-NWA-220823-004A,2023,No Vegetation,No Vegetation,,,West cell,0.63,0,0
2023-LCS-NWA-220823-005A,2023,Utricularia sp.,Bladderwort sp.,7,8,West cell,1.22,1,0
2023-LCS-NWA-220823-005A,2023,Ceratophyllum demersum,Coontail,19.9,20,West cell,1.22,1,0
2023-LCS-NWA-220823-005A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,1.22,1,0
2023-LCS-NWA-220823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,57.1,70,West cell,1.22,1,0
2023-LCS-NWA-220823-005A,2023,Nymphaea sp.,White water lily,35.9,35,West cell,1.22,1,0
2023-LCS-NWA-220823-006A,2023,Ceratophyllum demersum,Coontail,13.7,24,West cell,0.678,1,0
2023-LCS-NWA-220823-006A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.678,1,0
2023-LCS-NWA-220823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,21.7,25,West cell,0.678,1,0
2023-LCS-NWA-240823-001A,2023,Ceratophyllum demersum,Coontail,0.5,2,West cell,0.657,1,0
2023-LCS-NWA-240823-001A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.657,1,0
2023-LCS-NWA-240823-001A,2023,Lemna trisulca,Star duckweed,0.1,0,West cell,0.657,1,0
2023-LCS-NWA-240823-001A,2023,Nymphaea sp.,White water lily,14.8,20,West cell,0.657,1,0
2023-LCS-NWA-240823-002A,2023,Ceratophyllum demersum,Coontail,1,2,West cell,1.18,1,0
2023-LCS-NWA-240823-003A,2023,Ceratophyllum demersum,Coontail,11.4,14,West cell,1.06,2,0
2023-LCS-NWA-240823-003A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,1.06,2,0
2023-LCS-NWA-240823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,28.6,35,West cell,1.06,2,0
2023-LCS-NWA-240823-003A,2023,Nymphaea sp.,White water lily,178.3,200,West cell,1.06,2,0
2023-LCS-NWA-240823-004A,2023,Elodea canadensis,Canada waterweed,,,West cell,0.95,3,0
2023-LCS-NWA-240823-004A,2023,Ceratophyllum demersum,Coontail,,,West cell,0.95,3,0
2023-LCS-NWA-240823-004A,2023,Nymphaea sp.,White water lily,,,West cell,0.95,3,0
2023-LCS-NWA-240823-005A,2023,Ceratophyllum demersum,Coontail,14.7,18,West cell,1.315,1,0
2023-LCS-NWA-240823-005A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,1.315,1,0
2023-LCS-NWA-240823-006A,2023,No Vegetation,No Vegetation,,,West cell,0.71,1,0
2023-LCS-NWA-280823-001A,2023,Nymphaea sp.,White water lily,32.8,36,West cell,1.01,1,0
2023-LCS-NWA-280823-002A,2023,Ceratophyllum demersum,Coontail,3.5,4,West cell,0.98,1,0
2023-LCS-NWA-280823-003A,2023,Ceratophyllum demersum,Coontail,0.2,0,West cell,1.01,1,1
2023-LCS-NWA-280823-004A,2023,Utricularia sp.,Bladderwort sp.,8.1,8,West cell,1.14,2,0
2023-LCS-NWA-280823-004A,2023,Ceratophyllum demersum,Coontail,8.9,16,West cell,1.14,2,0
2023-LCS-NWA-280823-004A,2023,Lemna trisulca,Star duckweed,0.3,0,West cell,1.14,2,0
2023-LCS-NWA-280823-004A,2023,Hydrocharis morsus-ranae,European frog-bit,0.7,0,West cell,1.14,2,0
2023-LCS-NWA-280823-004A,2023,Nymphaea sp.,White water lily,88.4,100,West cell,1.14,2,0
2023-LCS-NWA-280823-005A,2023,Nymphaea sp.,White water lily,170.4,230,West cell,1.01,1,0
2023-LCS-NWA-280823-006A,2023,No Vegetation,No Vegetation,,,West cell,1.05,0,0
2023-LCS-NWA-290823-001A,2023,No Vegetation,No Vegetation,,,West cell,1.03,0,0
2023-LCS-NWA-290823-002A,2023,Ceratophyllum demersum,Coontail,3.9,6,West cell,0.84,2,0
2023-LCS-NWA-290823-002A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,0.84,2,0
2023-LCS-NWA-290823-002A,2023,Nymphaea sp.,White water lily,43.4,50,West cell,0.84,2,0
2023-LCS-NWA-290823-003A,2023,No Vegetation,No Vegetation,,,West cell,1.04,0,1
2023-LCS-NWA-290823-004A,2023,Ceratophyllum demersum,Coontail,16.5,16,West cell,0.98,1,0
2023-LCS-NWA-290823-005A,2023,Nymphaea sp.,White water lily,204.4,250,West cell,0.94,1,0
2023-LCS-NWA-290823-006A,2023,Utricularia sp.,Bladderwort sp.,135,130,West cell,0.85,3,0
2023-LCS-NWA-290823-006A,2023,Ceratophyllum demersum,Coontail,80.2,80,West cell,0.85,3,0
2023-LCS-NWA-290823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,1,0,West cell,0.85,3,0
2023-LCS-NWA-290823-006A,2023,Potamogeton pusillus,Slender pondweed,0.7,0,West cell,0.85,3,0
2023-LCS-NWA-290823-006A,2023,Nymphaea sp.,White water lily,74.2,75,West cell,0.85,3,0
2023-LCS-NWA-300823-001A,2023,Ceratophyllum demersum,Coontail,26.2,30,West cell,0.92,3,0
2023-LCS-NWA-300823-001A,2023,Lemna trisulca,Star duckweed,7.3,6,West cell,0.92,3,0
2023-LCS-NWA-300823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,49.9,60,West cell,0.92,3,0
2023-LCS-NWA-300823-001A,2023,Nymphaea sp.,White water lily,270.6,330,West cell,0.92,3,0
2023-LCS-NWA-300823-002A,2023,Ceratophyllum demersum,Coontail,2,2,West cell,1.05,2,0
2023-LCS-NWA-300823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,321.7,400,West cell,1.05,2,0
2023-LCS-NWA-300823-002A,2023,Nymphaea sp.,White water lily,98.5,110,West cell,1.05,2,0
2023-LCS-NWA-300823-003A,2023,Utricularia sp.,Bladderwort sp.,107,105,West cell,0.93,3,0
2023-LCS-NWA-300823-003A,2023,Ceratophyllum demersum,Coontail,18.4,20,West cell,0.93,3,0
2023-LCS-NWA-300823-003A,2023,Lemna trisulca,Star duckweed,10.1,12,West cell,0.93,3,0
2023-LCS-NWA-300823-003A,2023,Stuckenia pectinatus,Sago pondweed,33.5,35,West cell,0.93,3,0
2023-LCS-NWA-300823-004A,2023,Ceratophyllum demersum,Coontail,22.6,26,West cell,0.96,3,0
2023-LCS-NWA-300823-004A,2023,Lemna trisulca,Star duckweed,1.1,0,West cell,0.96,3,0
2023-LCS-NWA-300823-004A,2023,Nelumbo lutea,American lotus,329.8,380,West cell,0.96,3,0
2023-LCS-NWA-300823-004A,2023,Potamogeton pusillus,Slender pondweed,10.6,12,West cell,0.96,3,0
2023-LCS-NWA-300823-004A,2023,Nymphaea sp.,White water lily,3.2,4,West cell,0.96,3,0
2023-LCS-NWA-300823-005A,2023,Ceratophyllum demersum,Coontail,225,230,West cell,1.08,2,0
2023-LCS-NWA-300823-005A,2023,Lemna sp.,Duckweed sp.,0,0,West cell,1.08,2,0
2023-LCS-NWA-300823-005A,2023,Lemna trisulca,Star duckweed,0,0,West cell,1.08,2,0
2023-LCS-NWA-300823-005A,2023,Nelumbo lutea,American lotus,16.7,26,West cell,1.08,2,0
2023-LCS-NWA-300823-005A,2023,Nymphaea sp.,White water lily,52.5,55,West cell,1.08,2,0
2023-LCS-NWA-300823-006A,2023,Ceratophyllum demersum,Coontail,2.4,0,West cell,0.88,1,0
2023-LCS-NWA-300823-006A,2023,Nelumbo lutea,American lotus,28.1,40,West cell,0.88,1,0
2024-LCS-NWA-070824-001A,2024,Utricularia sp.,Bladderwort sp.,0.6,1,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Utricularia vulgaris,Common bladderwort,32.7,34,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Elodea canadensis,Common waterweed,,,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Ceratophyllum demersum,Coontail,2.5,2,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Lemna sp.,Duckweed sp.,0,0,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Hydrocharis morsus-ranae,European frog-bit,,,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Pontederia cordata,Pickerelweed,,,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Juncus sp.,Rush sp.,,,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Potamogeton pusillus,Slender pondweed,0.1,0,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Nitellopsis obtusa,Starry stonewort,166,175,East cell,0.76,3,0
2024-LCS-NWA-070824-001A,2024,Nymphaea sp.,White water lily,,,East cell,0.76,3,0
2024-LCS-NWA-070824-002A,2024,Ceratophyllum demersum,Coontail,11.5,12,East cell,0.95,1,0
2024-LCS-NWA-070824-002A,2024,Hydrocharis morsus-ranae,European frog-bit,,,East cell,0.95,1,0
2024-LCS-NWA-070824-002A,2024,Spirodela polyrhiza,Greater duckweed,0,0,East cell,0.95,1,0
2024-LCS-NWA-070824-002A,2024,Lemna minor,Lesser duckweed,0,0,East cell,0.95,1,0
2024-LCS-NWA-070824-002A,2024,Nymphaea sp.,White water lily,55.9,70,East cell,0.95,1,0
2024-LCS-NWA-070824-003A,2024,Utricularia sp.,Bladderwort sp.,,,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Ceratophyllum demersum,Coontail,9.9,9,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Spirodela polyrhiza,Greater duckweed,0,0,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Lemna minor,Lesser duckweed,,,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Stuckenia pectinatus,Sago pondweed,10.5,10,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Nitellopsis obtusa,Starry stonewort,136,140,East cell,0.9,2,0
2024-LCS-NWA-070824-003A,2024,Nymphaea sp.,White water lily,,,East cell,0.9,2,0
2024-LCS-NWA-070824-004A,2024,Typha sp.,Cattail sp.,,,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Ceratophyllum demersum,Coontail,8.8,10,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Hydrocharis morsus-ranae,European frog-bit,54,76,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Riccia fluitans,Floating crystalwort,0,0,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Spirodela polyrhiza,Greater duckweed,0,0,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Lemna minor,Lesser duckweed,0,0,East cell,0.64,2,0
2024-LCS-NWA-070824-004A,2024,Nymphaea sp.,White water lily,100.8,125,East cell,0.64,2,0
2024-LCS-NWA-070824-005A,2024,Utricularia vulgaris,Common bladderwort,0,0,East cell,0.81,1,0
